DostawaId,DostawaId,Kod,Ilosc,Data,DataUtworzenia,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted,VTMagazynId,VTMagazynId,NumerKompletu,SztukiZeskanowane,SztukiDeklarowane,ZeskanowanychNaKomplet,NaKomplet,Wiazka,KodCiety,Pracownik,DokDostawy,DataUtworzenia,DataDostawy,Komplet,Deklarowany,autocompleteEnabled,wymuszonaIlosc,DataDopisu,DopisanaIlosc,DostawaDopis,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
994be1ab-c580-4d72-8332-08d8433e8fca,994be1ab-c580-4d72-8332-08d8433e8fca,PLCSEB17916,20,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,872bc363-805c-40a8-9440-08d8434f7ded,872bc363-805c-40a8-9440-08d8434f7ded,0,20,20,16,16,23419087A,SEB17916,filonowicz,49734886,08/18/2020 10:38:53,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
ace15f2f-29d5-42a3-82da-08d8433e8fca,ace15f2f-29d5-42a3-82da-08d8433e8fca,PLCAEB21521,10,08/18/2020 00:00:00,08/18/2020 08:18:49,,,,,,,,,,,False,,,,False,15d9ec14-ef58-4c6b-9441-08d8434f7ded,15d9ec14-ef58-4c6b-9441-08d8434f7ded,0,10,10,18,18,23419165A,AEB21521,filonowicz,49734886,08/18/2020 10:39:05,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b6441099-327f-4684-8334-08d8433e8fca,b6441099-327f-4684-8334-08d8433e8fca,PLCSEB18316,3,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,ed26b649-aadc-406f-9442-08d8434f7ded,ed26b649-aadc-406f-9442-08d8434f7ded,0,3,3,18,18,23419093A,SEB18316,filonowicz,49734886,08/18/2020 10:39:14,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
50f61adb-21d3-47e2-8335-08d8433e8fca,50f61adb-21d3-47e2-8335-08d8433e8fca,PLCSEB19116,4,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,fd7c20a3-17d8-4ef7-9443-08d8434f7ded,fd7c20a3-17d8-4ef7-9443-08d8434f7ded,0,4,4,18,18,23419104A,SEB19116,filonowicz,49734886,08/18/2020 10:39:21,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
256b56d9-92e5-4b81-832e-08d8433e8fca,256b56d9-92e5-4b81-832e-08d8433e8fca,PLCSEB13116,26,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,6669f91a-7e30-4248-9444-08d8434f7ded,6669f91a-7e30-4248-9444-08d8434f7ded,0,26,26,16,16,23419129A,SEB13116,filonowicz,49734886,08/18/2020 10:39:27,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
ff27f1c2-0938-4fab-832f-08d8433e8fca,ff27f1c2-0938-4fab-832f-08d8433e8fca,PLCSEB16016,14,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,234c182b-c6b2-4940-9445-08d8434f7ded,234c182b-c6b2-4940-9445-08d8434f7ded,0,14,14,16,16,23419008A,SEB16016,filonowicz,49734886,08/18/2020 10:39:32,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
5318a679-4a9a-472f-8331-08d8433e8fca,5318a679-4a9a-472f-8331-08d8433e8fca,PLCSEB17816,15,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,c740ba73-c12e-44fb-9446-08d8434f7ded,c740ba73-c12e-44fb-9446-08d8434f7ded,0,15,15,16,16,23419086A,SEB17816,filonowicz,49734886,08/18/2020 10:39:37,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
4391961f-59e4-4f55-8333-08d8433e8fca,4391961f-59e4-4f55-8333-08d8433e8fca,PLCSEB18016,18,08/18/2020 00:00:00,08/18/2020 08:18:51,,,,,,,,,,,False,,,,False,0d82b9d9-d3fb-4e44-9447-08d8434f7ded,0d82b9d9-d3fb-4e44-9447-08d8434f7ded,0,18,18,16,16,23419089A,SEB18016,filonowicz,49734886,08/18/2020 10:39:47,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
4707ec13-e313-485d-82c0-08d8433e8fca,4707ec13-e313-485d-82c0-08d8433e8fca,PLCAEB21021,112,08/18/2020 00:00:00,08/18/2020 08:18:48,,,,,,,,,,,False,,,,False,d0fcf35f-eaf4-425c-9448-08d8434f7ded,d0fcf35f-eaf4-425c-9448-08d8434f7ded,0,112,112,18,18,23419160A,AEB21021,filonowicz,49734886,08/18/2020 10:39:55,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b5c1a004-762a-4fe4-82cd-08d8433e8fca,b5c1a004-762a-4fe4-82cd-08d8433e8fca,PLCAEB21221,14,08/18/2020 00:00:00,08/18/2020 08:18:48,,,,,,,,,,,False,,,,False,81514212-519a-4353-9449-08d8434f7ded,81514212-519a-4353-9449-08d8434f7ded,0,14,14,18,18,23419162A,AEB21221,filonowicz,49734886,08/18/2020 10:40:00,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
