VTMagazynId,NumerKompletu,SztukiZeskanowane,SztukiDeklarowane,ZeskanowanychNaKomplet,NaKomplet,Wiazka,KodCiety,Pracownik,DokDostawy,DataUtworzenia,DataDostawy,Komplet,Deklarowany,autocompleteEnabled,wymuszonaIlosc,DataDopisu,DopisanaIlosc,DostawaDopis,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
ba8f6280-9acb-4e94-945a-08d8434f7ded,0,15,15,16,16,23419086A,AEB17812,filonowicz,49734886,08/18/2020 10:43:01,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
8280cc05-678e-44a7-945b-08d8434f7ded,0,26,26,16,16,23419129A,AEB13112,filonowicz,49734886,08/18/2020 10:43:07,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
f60a3643-2d20-4045-945c-08d8434f7ded,0,14,14,16,16,23419008A,AEB16012,filonowicz,49734886,08/18/2020 10:43:16,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
ace69673-dd74-4788-945d-08d8434f7ded,0,4,4,18,18,22707378A,AEB07412,filonowicz,49734886,08/18/2020 10:43:20,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
901d02fa-afb2-49cf-945e-08d8434f7ded,0,10,10,18,18,23419165A,AEB21512,filonowicz,49734886,08/18/2020 10:43:27,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
ff144f76-d5a8-4f8c-945f-08d8434f7ded,0,14,14,18,18,23419162A,AEB21212,filonowicz,49734886,08/18/2020 10:43:46,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
15665a08-fc73-4002-9460-08d8434f7ded,0,4,4,18,18,23419104A,AEB19112,filonowicz,49734886,08/18/2020 10:43:54,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
f59ebf5c-d76d-47c4-9461-08d8434f7ded,0,3,3,18,18,23419093A,AEB18312,filonowicz,49734886,08/18/2020 10:43:59,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
f99d0910-0cc0-4b3f-9462-08d8434f7ded,0,20,20,16,16,23419087A,AEB17912,filonowicz,49734886,08/18/2020 10:45:12,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b849beca-da42-4f8c-9463-08d8434f7ded,0,11,11,16,16,23419082A,AEB17412,filonowicz,49734886,08/18/2020 10:45:20,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
1c108631-78ff-41a0-9464-08d8434f7ded,0,44,44,16,16,23419117A,AEB22212,filonowicz,49734886,08/18/2020 10:45:25,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
edc9a320-ece4-481e-9465-08d8434f7ded,0,18,18,16,16,23419089A,AEB18012,filonowicz,49734886,08/18/2020 10:45:32,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
810fd504-453b-4a36-9466-08d8434f7ded,0,35,35,18,18,23419128A,AEB20912,filonowicz,49734886,08/18/2020 10:45:39,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
4fd87ff4-36e3-4377-9467-08d8434f7ded,0,21,21,18,18,23419111A,AEB19412,filonowicz,49734886,08/18/2020 10:46:25,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
d3a19103-e908-4131-9468-08d8434f7ded,0,4,4,18,18,22707378A,AEB07418,filonowicz,49734886,08/18/2020 10:46:30,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
d0be10b2-859b-414e-9469-08d8434f7ded,0,4,4,18,18,22707378A,AEB07415,filonowicz,49734886,08/18/2020 10:46:34,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
237afa6c-f175-4e04-946a-08d8434f7ded,0,44,44,16,16,23419117A,AEB22213,filonowicz,49734886,08/18/2020 10:46:46,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
1c2fc0c9-e869-488b-946b-08d8434f7ded,0,35,35,18,18,23419128A,AEB20913,filonowicz,49734886,08/18/2020 10:46:51,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
83f6fb8a-4721-4d95-946c-08d8434f7ded,0,14,14,18,18,23419162A,AEB21213,filonowicz,49734886,08/18/2020 10:46:58,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
0588f43c-6e52-4471-946d-08d8434f7ded,0,11,11,18,18,23419170A,AEB21913,filonowicz,49734886,08/18/2020 10:47:04,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
c7dca22d-6ede-4d34-946e-08d8434f7ded,0,10,10,18,18,23419165A,AEB21513,filonowicz,49734886,08/18/2020 10:47:10,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
9635e959-6e94-407f-946f-08d8434f7ded,0,112,112,18,18,23419160A,AEB21009,filonowicz,49734886,08/18/2020 10:47:20,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
2f19ba2b-1f42-40f3-9470-08d8434f7ded,0,18,18,16,16,23419089A,AEB18006,filonowicz,49734886,08/18/2020 10:47:58,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
71df5785-9922-4e53-9471-08d8434f7ded,0,3,3,18,18,23419093A,AEB18306,filonowicz,49734886,08/18/2020 10:48:08,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
