DostawaId,Kod,Ilosc,Data,DataUtworzenia,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
28534145-e91a-41fd-8288-08d8433e8fca,PLCAEB18311,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
b33d050e-4519-43db-8289-08d8433e8fca,PLCAEB18312,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
f55c45fa-c442-42b4-828a-08d8433e8fca,PLCAEB18313,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
656ce059-64c8-47ad-828b-08d8433e8fca,PLCAEB18320,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
138a147e-b207-4f66-828c-08d8433e8fca,PLCAEB18321,3,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
26288365-a98b-4bd9-828d-08d8433e8fca,PLCAEB19102,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
ea860be6-48b1-4aea-828e-08d8433e8fca,PLCAEB19103,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
21522ef9-9a87-4616-828f-08d8433e8fca,PLCAEB19104,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
346e5da9-62c3-4da4-8290-08d8433e8fca,PLCAEB19105,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
4858d02c-9b67-479b-8291-08d8433e8fca,PLCAEB19106,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
a2cc3df2-8885-400b-8292-08d8433e8fca,PLCAEB19108,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
2e5a26a4-f848-40bc-8293-08d8433e8fca,PLCAEB19109,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
8982d85c-50b9-40cf-8294-08d8433e8fca,PLCAEB19110,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
54b73c0c-35ba-42e3-8295-08d8433e8fca,PLCAEB19111,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
08029057-1b1e-4288-8296-08d8433e8fca,PLCAEB19112,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
c22b6145-b4e6-458d-8297-08d8433e8fca,PLCAEB19113,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
10cc902c-bc30-4af2-8298-08d8433e8fca,PLCAEB19120,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
75b38a5f-a4c0-4f6b-8299-08d8433e8fca,PLCAEB19121,4,08/18/2020 00:00:00,08/18/2020 08:18:47,,,,,,,,,,,False,,,,False
